name,year,rating,m_score,votes,genre
Dasara,2023,6.7,,10027.0,"
Action, Adventure, Drama            "
Wendigo,I) (2023,,,588300.0,"
Drama, Horror, Thriller            "
Jodi,2023,8.1,,374.0,"
Comedy, Drama, Romance            "
Malum,2023,5.1,,3881.0,"
Drama, Horror, Thriller            "
Shrek 2 Retold,2023 Video,8.9,,19.0,"
Animation            "
Sit Down Stand Up,2023,,,88388.0,"
Comedy            "
Don't Look Away,I) (2023,3.9,,371.0,"
Horror            "
The Carlmadson the Movie: Revenge of Frank O-Column,2023,6.6,,8.0,"
Animation, Comedy, Fantasy            "
The Jump Shot,2023 Video,,,10000.0,"
Comedy            "
R BnB,2023,8.3,,24.0,"
Drama, Horror, Thriller            "
 King of the Block,2023,,,5497.0,"
Documentary, Sport            "
 King of the Block,2023,,,5497.0,"
Documentary, Sport            "
I'm Still Here (the end),2023,,,3000.0,"
Short            "
Trinket Box,2023,4.4,,1209.0,"
Horror            "
Kenny Tactic's Favorite Television: The Rise of Microsoft Sam,2023,,,999.0,"
Animation, Comedy, Crime            "
Billy Boy,2023,,,406.0,"
Short, Drama, Thriller            "
Mr.Bear the assassin,2023,9.0,,14.0,"
Short, Action, Thriller            "
Hidden Above 2: The Mystery Unfolds,2023,,,72.0,"
Short, Drama, Horror            "
Prism with Laser,2023,,,,"
Short            "
The Fall of the House of Usher,2023,8.1,,40508.0,"
Drama, Horror, Mystery            "
Killers of the Flower Moon,2023,8.2,89.0,41894.0,"
Crime, Drama, History            "
Gen V,2023– ,8.0,,25891.0,"
Action, Adventure, Comedy            "
Goosebumps,2023– ,6.6,,4278.0,"
Adventure, Comedy, Fantasy            "
Reptile,2023,6.8,,51132.0,"
Crime, Drama, Mystery            "
Bodies,2023,7.5,,7340.0,"
Crime, Drama, History            "
The Burial,II) (2023,7.1,74.0,11914.0,"
Drama            "
Lessons in Chemistry,2023– ,7.9,,3073.0,"
Drama            "
Five Nights at Freddy's,2023,6.2,,1421.0,"
Horror, Mystery, Thriller            "
Saw X,2023,6.8,,33867.0,"
Horror, Mystery, Thriller            "
The Creator,2023,7.1,63.0,45050.0,"
Action, Adventure, Drama            "
Totally Killer,2023,6.6,62.0,26585.0,"
Comedy, Horror            "
Fair Play,2023,6.5,74.0,20323.0,"
Drama, Mystery, Thriller            "
Taylor Swift: The Eras Tour,2023,8.4,83.0,8447.0,"
Music            "
Mission: Impossible - Dead Reckoning Part One,2023,7.8,81.0,169420.0,"
Action, Adventure, Thriller            "
Ahsoka,2023– ,7.7,,82830.0,"
Action, Adventure, Drama            "
Expend4bles,2023,4.9,,19261.0,"
Action, Adventure, Thriller            "
The Exorcist: Believer,2023,5.0,,17235.0,"
Horror            "
Haunted Mansion,2023,6.1,,29306.0,"
Comedy, Drama, Family            "
Konferensen,2023,5.8,,5973.0,"
Comedy, Horror, Mystery            "
The Continental,2023,7.3,,22575.0,"
Action, Crime, Thriller            "
Frasier,2023– ,7.0,,2737.0,"
Comedy            "
The Walking Dead: Daryl Dixon,2023– ,7.8,,10809.0,"
Drama, Horror, Sci-Fi            "
Barbie,I) (2023,7.0,80.0,365469.0,"
Adventure, Comedy, Fantasy            "
Old Dads,2023,6.3,,11009.0,"
Comedy            "
Ferrari,2023,6.8,75.0,842.0,"
Biography, Drama, History            "
One Piece,2023– ,8.4,,115539.0,"
Action, Adventure, Comedy            "
Nowhere,II) (2023,6.4,,21659.0,"
Drama, Thriller            "
Oppenheimer,I) (2023,8.5,88.0,466781.0,"
Biography, Drama, History            "
The Equalizer 3,2023,6.9,,54592.0,"
Action, Crime, Thriller            "
Poor Things,2023,8.5,94.0,2317.0,"
Romance, Sci-Fi            "
The Long Shadow,2023,8.0,,2848.0,"
Crime, Drama, History            "
The Reckoning,2023,7.6,,2321.0,"
Biography, Crime, Drama            "
Napoleon,2023,,,,"
Action, Adventure, Biography            "
Monarch: Legacy of Monsters,2023– ,,,,"
Action, Adventure, Sci-Fi            "
No One Will Save You,2023,6.3,,44266.0,"
Horror, Sci-Fi, Thriller            "
Leo,III) (2023,8.0,,33089.0,"
Action, Crime, Drama            "
Saltburn,2023,7.1,62.0,682.0,"
Comedy, Drama, Thriller            "
Winnie-the-Pooh: Blood and Honey,2023,2.9,,22529.0,"
Horror            "
Sound of Freedom,2023,7.7,,76253.0,"
Biography, Crime, Drama            "
Kaala Paani,2023– ,8.1,,2242.0,"
Drama            "
The Iron Claw,2023,,,,"
Biography, Drama, Sport            "
Eileen,2023,7.0,73.0,328.0,"
Drama, Mystery, Thriller            "
A Haunting in Venice,2023,6.8,63.0,33101.0,"
Crime, Drama, Horror            "
John Wick: Chapter 4,2023,7.8,78.0,289571.0,"
Action, Crime, Thriller            "
The Nun II,2023,5.7,,36464.0,"
Horror, Mystery, Thriller            "
Beckham,2023,8.3,,17462.0,"
Documentary, Biography, Sport            "
No Hard Feelings,2023,6.4,,88908.0,"
Comedy, Romance            "
The Wonderful Story of Henry Sugar,2023,7.4,85.0,36907.0,"
Short, Adventure, Comedy            "
Found,2023– ,6.8,,1656.0,"
Drama            "
Once Upon a Studio,2023,8.7,,2920.0,"
Animation, Short, Comedy            "
